Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE78213,"SPOP mutation confers intrinsic BET inhibitor resistance in prostate cancer (BRD4_JQ1_RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",12,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78213/suppl",28805822,SRP070706,"Zhenqing Ye","Jul 24, 2017"
GSE84694,"Reprogramming of human stem cells towards a rejuvenated and transformation-resisting state by recoding a single nucleotide","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84694/suppl",28685772,SRP079223,"Jingyi Li","Jul 21, 2017"
GSE88872,"SPOP mutation confers intrinsic BET inhibitor resistance in prostate cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",26,,"BIGWIG;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88872/suppl",28805822,,"Zhenqing Ye","Jul 21, 2017"
GSE97881,"Medial Ganglionic Eminence and Cortical Organoids Model Human Brain Development and Interneuron Migration [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",5,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97881/suppl",28757360,SRP104137,"Yangfei Xiang","Jul 21, 2017"
GSE97882,"Medial Ganglionic Eminence and Cortical Organoids Model Human Brain Development and Interneuron Migration","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",16,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97882/suppl",28757360,,"Yangfei Xiang","Jul 21, 2017"
GSE98201,"Medial Ganglionic Eminence and Cortical Organoids Model Human Brain Development and Interneuron Migration [RNA-seq2]","Expression profiling by high throughput sequencing","Homo sapiens",8,,"MTX;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98201/suppl",28757360,SRP105219,"Yangfei Xiang","Jul 21, 2017"
GSE101668,"PRDM1 inhibits proliferation of human colon cancer organoids","Expression profiling by high throughput sequencing","Homo sapiens",12,,"CSV;FPKM_TRACKING;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101668/suppl",,SRP113171,"Phillip J. Buckhaults","Jul 21, 2017"
GSE101691,"BRCA1-mimetic compound NSC35446.HCl inhits IKKB expression by reducing estrogen receptor alpha occupancy in the IKKB promoter and inhibts NF-κB activity in anti-estrogen resitant human breast cells","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101691/suppl",,SRP113228,"Garrett Thomas Graham","Jul 21, 2017"
GSE76203,"Integrative genomics identifies the molecular basis of resistance to Azacytidine therapy in Myelodysplastic Syndromes","Expression profiling by high throughput sequencing","Homo sapiens",33,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76203/suppl",28723562,SRP067631,"Ashwin Unnikrishnan","Jul 20, 2017"
GSE86906,"Human iPSC glial mouse chimeras reveal glial contributions to schizophrenia","Expression profiling by high throughput sequencing","Homo sapiens",36,,"GFF3;PDF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86906/suppl",28736215,SRP089857,"Steven Goldman","Jul 20, 2017"
GSE101631,"Global Regulation of Alternative RNA Splicing by the SR-Rich Protein RBM39 CLIP-seq","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101631/suppl",,SRP112894,"Mai Sanyue","Jul 20, 2017"
GSE101642,"O-glcnAc reprograms cellular energetics","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101642/suppl",28739801,SRP112902,"Stefan Hannes Graw","Jul 20, 2017"
GSE101565,"The role of histone demethylase KDM5C in super-enhancer activation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101565/suppl",29339538,SRP112709,"xiaohua chen","Jul 19, 2017"
GSE76271,"TRIM28 interacts with EZH2 and SWI/SNF to activate genes that promote mammosphere formation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"WIG;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76271/suppl",28068325,SRP067706,"Yuanxin Xi","Jul 18, 2017"
GSE101343,"RNA sequencing to compare gene expession in hepatic stellate cells on a soft (400 Pa) and stiff (25000 Pa) polyacrylamide hydrogels","Expression profiling by high throughput sequencing","Homo sapiens",5,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101343/suppl",,SRP111737,"Ningling Kang","Jul 18, 2017"
GSE101521,"Whole-transcriptome brain expression and exon-usage profiling in major depression and suicide","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",86,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101521/suppl",27528462,SRP112551,"Spiro Pantazatos","Jul 18, 2017"
GSE101528,"Stapled peptide inhibitors of RAB25 target context-specific phenotypes in cancer","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101528/suppl",28939823,SRP112586,"Raymond E Moellering","Jul 18, 2017"
GSE96993,"Targeted reconstruction of T cell receptor sequence from single cell RNA-seq links CDR3 length to T cell differentiation state","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",770,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96993/suppl",28934479,SRP102433,"Shaked Afik","Jul 17, 2017"
GSE99839,"Inhibitors of the histone methyltransferases EZH2/1 induce a potent antiviral state and suppress infection by diverse viral pathogens [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",30,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99839/suppl",28811345,SRP108872,"Jesse H Arbuckle","Jul 17, 2017"
GSE99841,"Inhibitors of the histone methyltransferases EZH2/1 induce a potent antiviral state and suppress infection by diverse viral pathogens","Expression profiling by high throughput sequencing;Expression profiling by array","Homo sapiens;Mus musculus",39,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99841/suppl",28811345,,"Jesse H Arbuckle","Jul 17, 2017"
GSE99778,"Single-cell expression profiling reveals new roles for G-protein-coupled receptors in the regulation of Th17 pathogenicity","Expression profiling by high throughput sequencing","Homo sapiens",6,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99778/suppl",28768912,SRP108773,"Mario Looso","Jul 15, 2017"
GSE84405,"ARID1A-mutated ovarian cancers depend on HDAC6 activity","Expression profiling by high throughput sequencing","Homo sapiens",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84405/suppl",28737768,SRP078500,"Priyankara J Wickramasinghe","Jul 14, 2017"
GSE87701,"Effects of plasticizers (bisphenol A, bisphenol AF) and an herbicide in MCF7 human breast cancer cells","Expression profiling by high throughput sequencing","Homo sapiens",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87701/suppl",,SRP090937,"Matthew Arno","Jul 14, 2017"
GSE101396,"Next generation sequencing of human monocyte derived dendritic cells stimulated for two hours with LPS, C5a and/or MSK inhibitor SB-747561","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101396/suppl",28733463,SRP111818,"Anouk Zaal","Jul 14, 2017"
GSE87615,"ASCL1 mediates neuronal differentiation of primary GBM stem cell cultures upon Notch signalling blockade [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87615/suppl",28712938,SRP090830,"Peter B Dirks","Jul 13, 2017"
GSE87617,"Identifying ASCL1 target genes in primary GBM stem cell cultures [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87617/suppl",28712938,SRP090831,"Peter B Dirks","Jul 13, 2017"
GSE88750,"Click chemistry enables comprehensive preclinical evaluation of targeted epigenetic therapies [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88750/suppl",28619718,SRP091556,"Mark Dawson","Jul 13, 2017"
GSE88751,"Click chemistry enables comprehensive preclinical evaluation of targeted epigenetic therapies","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",36,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88751/suppl",28619718,,"Mark Dawson","Jul 13, 2017"
GSE89597,"Splicing activation by Rbfox requires self-aggregation through its tyrosine-rich domain","Expression profiling by high throughput sequencing","Homo sapiens",12,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89597/suppl",28708999,SRP092755,"Douglas L. Black","Jul 13, 2017"
GSE79306,"Gene expression profiles of brain endothelial cells during embryonic development at bulk and single-cell levels","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",175,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79306/suppl",28698213,SRP071876,"Mike Hupe","Jul 12, 2017"
GSE84323,"Phenotype-driven precision oncology in patient-derived tumor models predict therapeutic response in squamous cell carcinoma","Expression profiling by high throughput sequencing","Homo sapiens",152,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84323/suppl",,SRP078505,"Debarka Sengupta","Jul 12, 2017"
GSE85908,"Single-cell alternative splicing analysis with Expedition reveals splicing dynamics during neuron differentiation","Expression profiling by high throughput sequencing","Homo sapiens",214,,"BED;CSV;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85908/suppl",28673540,SRP082522,"Gene Yeo","Jul 12, 2017"
GSE86354,"Alternative processing of GTEx RNA-seq data","Expression profiling by high throughput sequencing;Third-party reanalysis","Homo sapiens",0,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86354/suppl",,,"Dvir Aran","Jul 12, 2017"
GSE97806,"Disrupted prenatal RNA processing and myogenesis in congenital myotonic dystrophy","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",25,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97806/suppl",28698297,SRP103934,"James Douglas Thomas","Jul 12, 2017"
GSE99824,"Molecular pathogenesis of human prostate basal cell hyperplasia reveals a keratinocyte metaplasia","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99824/suppl",28795417,SRP108858,"Gervaise H. Henry","Jul 12, 2017"
GSE101133,"Human ES Cell-derived Hepatoblasts are an Optimal Lineage Stage for HCV Infection","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101133/suppl",,SRP111513,"yi wang","Jul 12, 2017"
GSE101168,"SUMOylation Regulates miR-34b/c Targeted Gene Expression Program [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101168/suppl",,SRP111535,"LU YANG","Jul 12, 2017"
GSE101180,"SUMOylation Regulates miR-34b/c Targeted Gene Expression Program","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",8,,,,,,"LU YANG","Jul 12, 2017"
GSE98884,"Anti-inflammatory effect of indoleacrylic acid (IA)","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98884/suppl",,SRP107004,"Ramnik Xavier","Jul 11, 2017"
GSE84706,"Experimental validation of candidate regulators of KRAS transcriptional components.","Expression profiling by high throughput sequencing","Homo sapiens",21,,"GCT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84706/suppl",28837809,SRP079257,"Jong Wook Kim","Jul 10, 2017"
GSE85331,"Genome-wide transcriptomic analysis of cardiomyocyte differentiation from human embryonic stem cells and iPS cells (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",32,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85331/suppl",28663367,SRP081103,"Qing Liu","Jul 10, 2017"
GSE85332,"Genome-wide transcriptomic analysis and chromatin accessibility profiling of cardiomyocyte differentiation from human embryonic stem cells and iPS cells","Expression profiling by high throughput sequencing;Other","Homo sapiens",64,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85332/suppl",28663367,,"Qing Liu","Jul 10, 2017"
GSE94937,"Generation of KRAS signatures using immortalized isogenic lung cells.","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94937/suppl",28837809,SRP099848,"Jong Wook Kim","Jul 10, 2017"
GSE96689,"RNA-seq detects pharmacological inhibition of Epstein-Barr virus late transcription during spontaneous reactivation.","Expression profiling by high throughput sequencing","Homo sapiens;Human gammaherpesvirus 4",12,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96689/suppl",28560170,SRP101998,"JJ Miranda","Jul 09, 2017"
GSE100925,"RNAseq analysis of chemotherapy and radiation therapy-naïve breast tumors","Expression profiling by high throughput sequencing","Homo sapiens",103,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100925/suppl",,SRP111343,"Lisa Coussens","Jul 08, 2017"
GSE76663,"miRNAs affected by antagomiR-17 treatment","Expression profiling by high throughput sequencing","Homo sapiens",6,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76663/suppl",28963481,SRP068229,"Sezin Aday","Jul 07, 2017"
GSE83403,"MHC Transcriptomic landscape at haplotype-specific resolution","Expression profiling by high throughput sequencing","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83403/suppl",28600441,SRP076616,"Tze Hau Lam","Jul 07, 2017"
GSE83687,"A functional genomics predictive network model identifies regulators of inflammatory bowel disease: Mount Sinai Hospital (MSH) Population Specimen Collection and Profiling of Inflammatory Bowel Disease","Expression profiling by high throughput sequencing","Homo sapiens",134,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83687/suppl",28892060,SRP077046,"Eric Schadt","Jul 07, 2017"
GSE87750,"Zika virus directly infects human peripheral neurons and induces cell death","Expression profiling by high throughput sequencing","Homo sapiens",13,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87750/suppl",28758997,SRP090990,"Peng Jin","Jul 07, 2017"
GSE99392,"PGE2 mediated gene expression changes in human cervical stromal cells","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99392/suppl",28716915,SRP108244,"Kishore Annavarapu","Jul 07, 2017"
GSE100855,"Transcriptional Consequences of XPA Disruption in Human Cell Lines","Expression profiling by high throughput sequencing","Homo sapiens",48,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100855/suppl",28704716,SRP111173,"Yue Lu","Jul 07, 2017"
GSE100889,"Extensive overlap of the STAT6 and RXR cistromes in the active enhancer repertoire of human CD14+ monocyte-derived differentiating macrophages","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100889/suppl",28774779,SRP101844,"Gergely Nagy","Jul 07, 2017"
GSE89334,"Discovery of Drug Candidates that Inhibit and Eliminate Zika Virus Infection in Fetal and Adult Brain","Expression profiling by high throughput sequencing","Homo sapiens",6,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89334/suppl",,SRP092330,"Shuibing Chen","Jul 06, 2017"
GSE92739,"EWS-FLI1 represses Rho-actin signaling via MRTFB/YAP-1/TEAD perturbation in Ewing Sarcoma [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",32,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92739/suppl",28671673,SRP095613,"Maximilian Kauer","Jul 06, 2017"
GSE92741,"EWS-FLI1 represses Rho-actin signaling via MRTFB/YAP-1/TEAD perturbation in Ewing Sarcoma","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",58,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92741/suppl",28671673,,"Maximilian Kauer","Jul 06, 2017"
GSE95227,"Gene expression profiling of ISWI chromatin remodeler mutants before and after DNA damage","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95227/suppl",,SRP100570,"Sarah K Kummerfeld","Jul 06, 2017"
GSE100839,"Ebola virus (EBOV) infection of ARPE-19 cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100839/suppl",28721309,SRP111145,"Justine Smith","Jul 06, 2017"
GSE100891,"Identification of downstream genes regulated by YAP1 through knockdown and overexpression of YAP1 in U251 cell with a stably expression of mutant APP","Expression profiling by high throughput sequencing","Homo sapiens",11,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100891/suppl",28923553,SRP111293,"Yong-Gang Yao","Jul 06, 2017"
GSE99068,"IL-6/Stat3-Dependent Induction of Distinct, Obesity-Associated Natural Killer Cells Deteriorates Energy and Glucose Homeostasis","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",63,,"TXT;XLS;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99068/suppl",28683285,SRP107327,"Sebastian Theurich","Jul 05, 2017"
GSE97388,"In vitro differentiation of human embryonic stem cells into ovarian follicle-like cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97388/suppl",28604658,SRP103018,"Kehkooi Kee","Jul 04, 2017"
GSE74180,"Repression of stress-induced LINE-1 expression protects cancer cell populations from lethal drug-exposures","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",51,,"BED;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74180/suppl",28781121,,"Suchit Jhunjhunwala","Jul 03, 2017"
GSE100258,"RNA-seq during MCF10A-ER-Src cell transformation and upon factor knockdowns","Expression profiling by high throughput sequencing","Homo sapiens",10,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100258/suppl",,SRP109817,"Zhe Ji","Jul 03, 2017"
GSE100259,"Genome-scale identification of transcription factors that mediate an inflammatory network during breast cellular transformation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",43,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100259/suppl",,,"Zhe Ji","Jul 03, 2017"
GSE100751,"Repression of stress-induced LINE-1 expression protects cancer cell populations from lethal drug-exposures [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",18,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100751/suppl",28781121,SRP110994,"Suchit Jhunjhunwala","Jul 03, 2017"
GSE39167,"Investigating the genetic basis of RNA Editing in humans","Expression profiling by high throughput sequencing","Homo sapiens",105,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39167/suppl",,SRP014174,"Isabel Xiaorong Wang","Jul 01, 2017"
GSE59483,"Transcriptomic analysis of an archived bladder cancer cohort","Expression profiling by high throughput sequencing","Homo sapiens",67,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59483/suppl",25199720,SRP044373,"Yu Liu","Jul 01, 2017"
GSE84325,"Total RNA sequencing of INS-GFP+ cells differentiated from HES3 hESCs treated with DMSO or H1152","Expression profiling by high throughput sequencing","Homo sapiens",4,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84325/suppl",,SRP078374,"Shuibing Chen","Jul 01, 2017"
GSE85037,"Antibiotics induce polarization of pleural macrophages to M2-like phenotype in patients with tuberculous pleuritis","Expression profiling by high throughput sequencing","Homo sapiens",8,,"CSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85037/suppl",,SRP080745,"Guangan Hu","Jul 01, 2017"
GSE86926,"Dermal fibroblasts play a central role in skin model protection against C. albicans invasion","Expression profiling by high throughput sequencing","Candida albicans SC5314;Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86926/suppl",28368492,SRP089880,"Christian Grumaz","Jul 01, 2017"
GSE90683,"Heterogeneity of neuroblastoma cell identity revealed by transcriptional circuitries","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",101,,"BED;BW;NARROWPEAK;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90683/suppl",28740262,SRP094096,"Valentina Boeva","Jul 01, 2017"
GSE92628,"Human embryonic stem cells in E8 and AKIT culture medium","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92628/suppl",,SRP095407,"Kouichi Hasegawa","Jul 01, 2017"
GSE93070,"Virus Mimicry in the Tumor Microenvironment Activates RIG-I Through Unshielding of Endogenous RNA in Exosomes [exoRNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93070/suppl",,SRP095943,"Yu Qiu","Jul 01, 2017"
GSE93071,"Virus Mimicry in the Tumor Microenvironment Activates RIG-I Through Unshielding of Endogenous RNA in Exosomes [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93071/suppl",,SRP095944,"Yu Qiu","Jul 01, 2017"
GSE93072,"Virus Mimicry in the Tumor Microenvironment Activates RIG-I Through Unshielding of Endogenous RNA in Exosomes [patients RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93072/suppl",,SRP095948,"Yu Qiu","Jul 01, 2017"
GSE93073,"Virus Mimicry in the Tumor Microenvironment Activates RIG-I Through Unshielding of Endogenous RNA in Exosomes [ppp5end RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93073/suppl",,SRP095946,"Yu Qiu","Jul 01, 2017"
GSE93078,"Virus Mimicry in the Tumor Microenvironment Activates RIG-I Through Unshielding of Endogenous RNA in Exosomes","Expression profiling by high throughput sequencing","Homo sapiens",23,,,,,,"Yu Qiu","Jul 01, 2017"
GSE94043,"RNA-seq from four balanced translocation carriers in 1000 Genomes Project","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94043/suppl",29095815,SRP100921,"Zirui DONG","Jul 01, 2017"
GSE94055,"S-adenosylhomocysteine hydrolase participates in DNA methylation inheritance","Methylation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94055/suppl",,SRP097759,"V K Chaithanya Ponnaluri","Jul 01, 2017"
GSE94494,"ZIKV can infect human CD14+ monocytes and update multiple cellular pathways","Expression profiling by high throughput sequencing","Homo sapiens",3,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94494/suppl",,SRP098823,"Subhash C Verma","Jul 01, 2017"
GSE95176,"GCTM-5 positive and negative cells in pancreatic adenocarcinoma cell lines","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95176/suppl",,SRP100507,"Kouichi Hasegawa","Jul 01, 2017"
GSE95299,"Overexpression of NFIB and YBX1 in MCF-7 cells","Expression profiling by high throughput sequencing","Homo sapiens",9,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95299/suppl",29180470,SRP100638,"Kerstin Meyer","Jul 01, 2017"
GSE97591,"Using hESCs to Probe the Interaction of CDKAL1 and MT1E, Two GWAS identified Diabetes Associated Genes","Expression profiling by high throughput sequencing","Homo sapiens",2,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97591/suppl",,SRP103773,"Shuibing Chen","Jul 01, 2017"
GSE97647,"Glucose impairs tamoxifen sensitivity modulating CTGF in breast cancer cells","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97647/suppl",,SRP103803,"Valerio Costa","Jul 01, 2017"
GSE98218,"RNA-biotin based pull down assay with Hela Nuclear Extract followed by RNA-seq","Other;Expression profiling by high throughput sequencing","Homo sapiens",2,,"CSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98218/suppl",28911119,SRP105257,"chengguo yao","Jul 01, 2017"
GSE98219,"PolyA site sequencing (PAS-seq) analysis of Hela cells treated with NC ASO or snoRD50a ASOs","Other;Expression profiling by high throughput sequencing","Homo sapiens",6,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98219/suppl",28911119,SRP105259,"chengguo yao","Jul 01, 2017"
GSE98220,"Fip1 iCLIP-seq in Hela cells without treatment or treated with NC ASO, snoRD50a ASO","Expression profiling by high throughput sequencing;Other","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98220/suppl",28911119,SRP105258,"chengguo yao","Jul 01, 2017"
GSE98221,"HTS-Seq analysis of Hela cells treated with NC ASO or snoRD50a ASOs","Expression profiling by high throughput sequencing;Other","Homo sapiens",14,,,,28911119,,"chengguo yao","Jul 01, 2017"
